Maak nog korrekte opskrifte hier
2020-08-23 17:38:28.653183,232.8 50.1 232.8 50.1 0209 0141 004 418 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:38:59.196636,232.7 50.1 232.7 50.1 0209 0140 004 418 52.00 000 100 0047 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:39:29.732047,232.4 50.1 232.4 50.1 0209 0137 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:40:00.251451,232.3 50.1 232.3 50.1 0209 0137 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:40:30.794932,232.5 50.1 232.5 50.1 0209 0139 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:41:01.338370,232.2 50.1 232.2 50.1 0208 0137 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:41:31.881784,232.2 50.1 232.2 50.1 0208 0135 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:42:02.425530,232.0 50.1 232.0 50.1 0208 0137 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:42:32.961773,232.9 50.1 232.9 50.1 0209 0138 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:43:03.505972,231.3 50.1 231.3 50.1 0232 0139 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:43:34.050109,231.8 50.1 231.8 50.1 0208 0136 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:44:04.586287,232.0 50.1 232.0 50.1 0232 0139 004 418 52.00 000 100 0051 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:44:35.130363,231.7 50.0 231.7 50.0 0231 0145 004 418 52.10 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:45:05.666429,231.5 49.9 231.5 49.9 0231 0138 004 418 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:45:36.202490,232.0 49.9 232.0 49.9 0231 0140 004 418 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:46:06.746472,231.7 49.9 231.7 49.9 0208 0139 004 418 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:46:37.282709,231.7 49.9 231.7 49.9 0231 0142 004 418 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:47:07.818658,231.9 49.9 231.9 49.9 0231 0140 004 418 52.00 000 100 0047 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:47:38.354355,231.0 49.8 231.0 49.8 0232 0143 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:48:08.890266,231.9 49.8 231.9 49.8 0231 0144 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:48:39.434163,231.4 49.8 231.4 49.8 0231 0138 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:49:09.978034,231.2 49.8 231.2 49.8 0231 0143 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:49:40.521916,231.5 49.8 231.5 49.8 0231 0142 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:50:11.057732,231.3 49.8 231.3 49.8 0231 0137 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:50:41.593582,231.2 49.8 231.2 49.8 0231 0144 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:51:12.129363,231.0 49.8 231.0 49.8 0231 0138 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:51:42.641157,231.4 50.0 231.4 50.0 0231 0142 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:52:13.184939,232.2 50.1 232.2 50.1 0231 0138 004 419 52.00 000 100 0051 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:52:43.728707,231.7 50.0 231.7 50.0 0231 0139 004 418 52.10 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:53:14.272462,231.2 50.0 231.2 50.0 0231 0141 004 418 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:53:44.816206,231.1 49.9 231.1 49.9 0231 0139 004 418 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:54:15.351948,230.7 49.8 230.7 49.8 0230 0138 004 418 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:54:45.887666,230.5 49.8 230.5 49.8 0230 0142 004 418 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:55:16.431385,230.1 49.8 230.1 49.8 0230 0140 004 419 52.00 000 100 0047 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:55:46.975086,229.8 49.8 229.8 49.8 0229 0139 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:56:17.510789,231.0 49.8 231.0 49.8 0230 0144 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:56:48.046446,230.4 49.9 230.4 49.9 0230 0141 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:57:18.582156,230.4 49.8 230.4 49.8 0230 0141 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:57:49.125828,230.5 49.8 230.5 49.8 0230 0136 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:58:19.669489,230.2 49.8 230.2 49.8 0230 0142 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:58:50.213152,230.6 49.8 230.6 49.8 0230 0139 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:59:20.748810,230.5 49.9 230.5 49.9 0230 0138 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
